Ascending_Rank,District,Median_Income,Representative,Party
430,NJ-7,119567,T. Kean,Republican
431,NY-1,120031,N. LaLota,Republican
432,WA-1,120671,S. DelBene,Democrat
433,MD-8,120948,J. Raskin,Democrat
434,NY-4,121979,A. D’Esposito,Republican
435,CA-11,124456,N. Pelosi,Democrat
436,CA-15,125855,K. Mullin,Democrat
437,CA-10,135150,M. DeSaulnier,Democrat
438,VA-11,139003,G. Connolly,Democrat
439,VA-10,140815,J. Wexton,Democrat
440,CA-16,150720,A. Eshoo,Democrat
441,CA-17,157049,R. Khanna,Democrat
